INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,DEMOSTK,28-MAY-2026,1580,CE,3.32,6.16,1.79,3.27,3.27,919,0.75,41712,-1455,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,PE,158.19,159.24,155.84,158.31,158.31,1159,45.87,15829,272,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,CE,-0.53,2.0,0.05,0.76,0.76,2378,0.45,25506,-2345,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,PE,179.46,179.92,175.67,178.11,178.11,2534,112.83,30763,2783,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,CE,2.97,3.38,1.4,2.12,2.12,543,0.29,18949,1816,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,PE,195.96,198.98,194.22,197.41,197.41,283,13.97,11993,-1162,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,CE,-0.08,4.06,0.05,1.6,1.6,1087,0.43,38366,-1347,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,PE,221.15,221.96,216.49,219.32,219.32,1720,94.31,7215,-4155,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,CE,2.91,5.81,0.05,1.63,1.63,338,0.14,19937,-2130,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,PE,239.03,240.94,236.48,239.35,239.35,2766,165.51,43822,3401,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,CE,1.83,3.54,0.24,2.04,2.04,2834,1.45,25219,3550,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,PE,258.38,259.84,255.69,259.61,259.61,2386,154.86,26034,-2026,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,CE,4.64,6.57,1.57,2.81,2.81,2195,1.54,17871,-3798,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,PE,277.11,280.93,276.47,278.88,278.88,1393,97.12,1629,2289,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,CE,132.48,134.61,129.83,131.77,131.77,788,25.96,31507,312,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,PE,11.29,13.65,8.42,12.36,12.36,898,2.77,36556,1702,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,CE,110.48,114.18,109.37,111.94,111.94,2950,82.56,24571,1227,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,PE,13.52,13.9,11.78,12.45,12.45,930,2.89,18434,-3148,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,CE,85.31,87.99,84.05,86.77,86.77,368,7.98,31773,4541,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,PE,9.86,12.16,8.82,10.53,10.53,1840,4.84,21610,-2126,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,CE,82.98,85.01,79.87,82.21,82.21,1663,34.18,25229,-3081,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,PE,22.72,25.23,19.72,21.65,21.65,2649,14.34,17290,4702,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,CE,66.34,69.85,65.44,67.55,67.55,1097,18.53,11709,-3940,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,PE,17.61,20.24,14.44,16.21,16.21,862,3.49,1983,4756,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,CE,40.61,41.43,39.5,39.71,39.71,69,0.68,12351,-3595,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,PE,18.04,20.71,17.24,20.02,20.02,2962,14.82,16490,-4684,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,CE,6.38,8.32,5.78,8.05,8.05,1974,3.97,22977,-3799,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,PE,16.62,18.59,15.18,17.34,17.34,1108,4.8,22824,-4100,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,CE,25.31,27.05,25.12,26.25,26.25,264,1.73,46654,-692,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,PE,24.92,25.91,21.94,23.45,23.45,627,3.68,13346,4915,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,CE,24.28,24.43,23.58,24.04,24.04,2887,17.35,28709,1311,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,PE,44.55,47.41,44.33,46.48,46.48,1985,23.07,7174,-3925,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,CE,13.66,17.01,11.25,14.89,14.89,997,3.71,41792,-3472,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,PE,76.09,77.51,76.05,76.2,76.2,2435,46.39,15141,-3233,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,CE,17.76,20.18,16.26,17.93,17.93,2187,9.8,35940,436,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,PE,90.48,94.53,89.82,92.36,92.36,1241,28.65,14858,2442,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,CE,13.88,14.49,11.34,12.27,12.27,2763,8.48,18090,-2850,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,PE,100.39,103.79,97.91,101.48,101.48,2983,75.68,45643,73,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,CE,7.73,8.65,5.32,7.64,7.64,1342,2.56,6841,-192,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,PE,119.38,119.83,116.54,119.33,119.33,1054,31.44,31261,-4505,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,CE,2.63,5.67,1.07,4.15,4.15,1536,1.59,45942,2806,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,PE,145.67,145.99,144.36,144.57,144.57,1635,59.09,29658,2922,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,CE,3.35,4.89,0.79,2.14,2.14,2003,1.07,47683,1855,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,PE,164.99,166.84,162.21,165.5,165.5,1338,55.36,41550,-4164,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,CE,1.8,3.89,0.96,1.98,1.98,203,0.1,37539,-2888,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,PE,178.91,179.02,176.2,178.17,178.17,2755,122.71,23334,2165,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,CE,2.33,5.84,0.18,3.75,3.75,259,0.24,3089,-281,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,PE,203.11,204.7,200.33,202.43,202.43,1344,68.02,11746,3713,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,CE,3.57,4.66,2.41,3.94,3.94,1794,1.77,47393,538,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,PE,220.75,222.12,217.53,219.19,219.19,425,23.29,18011,1335,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,CE,5.09,6.9,2.39,3.26,3.26,1955,1.59,26768,-1693,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,PE,239.65,241.71,236.78,241.13,241.13,488,29.42,34622,551,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,CE,3.08,6.51,0.64,4.97,4.97,2898,3.6,10733,263,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,PE,259.86,262.41,256.89,258.94,258.94,2751,178.09,28421,-4077,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,CE,6.52,8.24,5.04,5.07,5.07,1091,1.38,40749,-4356,12-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,PE,283.8,284.78,279.44,281.99,281.99,1139,80.3,24975,-60,12-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,CE,129.8,131.52,129.47,130.39,130.39,980,31.95,1825,1726,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,PE,6.9,8.6,3.08,5.82,5.82,2688,3.91,4422,-2192,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,CE,115.02,115.78,111.8,113.77,113.77,1609,45.76,29638,31,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,PE,2.3,3.31,0.05,2.14,2.14,1464,0.78,12315,238,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,CE,94.32,98.57,92.09,95.76,95.76,2822,67.56,36559,-4214,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,PE,9.4,12.34,5.19,8.03,8.03,1976,3.97,31263,-1492,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,CE,74.85,75.6,74.49,75.41,75.41,156,2.94,2675,-1280,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,PE,5.44,6.93,4.82,4.98,4.98,1942,2.42,42947,1583,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,CE,51.83,53.05,49.91,51.92,51.92,2412,31.31,31832,218,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,PE,12.05,12.98,8.5,11.12,11.12,2398,6.67,7939,4828,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,CE,36.93,38.49,34.16,35.61,35.61,1755,15.62,1773,-1280,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,PE,3.65,5.29,0.77,4.2,4.2,2900,3.04,9182,4312,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,CE,9.75,11.05,7.24,9.39,9.39,1808,4.24,7051,-1989,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,PE,9.84,12.21,7.49,8.56,8.56,960,2.05,49812,4892,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,CE,10.66,14.43,7.68,11.78,11.78,1825,5.37,11337,1235,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,PE,21.05,23.99,20.07,22.74,22.74,1397,7.94,34786,-1940,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,CE,8.29,8.32,4.67,7.28,7.28,2527,4.6,25772,4193,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,PE,43.54,44.93,41.59,44.88,44.88,512,5.74,38296,926,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,CE,0.34,3.63,0.05,2.12,2.12,2976,1.58,47694,-1476,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,PE,61.53,63.21,59.37,59.8,59.8,2634,39.38,29722,-4502,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,CE,5.73,6.51,4.49,5.32,5.32,1771,2.36,15184,3408,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,PE,78.41,82.51,76.0,80.19,80.19,2986,59.86,11841,-1117,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,CE,4.58,8.12,3.88,5.65,5.65,766,1.08,14238,4593,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,PE,98.58,101.53,96.8,100.14,100.14,934,23.38,18861,1953,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,CE,5.9,10.52,4.57,7.69,7.69,403,0.77,5563,4163,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,PE,117.48,120.29,115.56,118.91,118.91,2274,67.6,23023,1688,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,CE,4.58,6.2,4.1,5.6,5.6,1729,2.42,24366,2143,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,PE,134.42,136.43,134.17,135.77,135.77,841,28.55,39648,173,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,CE,0.58,2.65,0.05,1.4,1.4,2475,0.87,32866,2750,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,PE,158.42,159.12,156.64,158.53,158.53,642,25.44,33779,-2228,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,CE,0.96,2.7,0.75,1.55,1.55,461,0.18,24205,1965,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,PE,175.77,178.29,173.01,174.95,174.95,1955,85.51,38524,3976,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,CE,1.88,4.07,0.05,0.48,0.48,2630,0.32,47678,1580,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,PE,196.75,197.22,194.31,196.27,196.27,66,3.24,45990,-2620,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,CE,2.74,3.94,1.05,2.03,2.03,2390,1.21,45384,-1401,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,PE,216.05,217.7,213.06,214.27,214.27,797,42.69,19720,-3109,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,CE,2.37,5.3,0.05,0.75,0.75,2014,0.38,29889,3121,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,PE,234.19,234.25,232.45,234.1,234.1,1381,80.82,42888,2813,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,CE,-0.28,2.53,0.05,0.7,0.7,1117,0.2,2098,1070,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,PE,253.74,257.9,251.86,255.47,255.47,99,6.32,19076,445,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,CE,1.13,3.97,0.05,1.15,1.15,360,0.1,13658,-1565,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,PE,274.76,275.2,272.86,273.54,273.54,285,19.49,29614,-678,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,CE,132.42,135.14,130.22,130.54,130.54,639,20.85,37103,4024,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,PE,12.12,16.54,10.82,13.76,13.76,840,2.89,3612,3140,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,CE,121.61,122.35,118.99,122.07,122.07,785,23.96,40124,-2931,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,PE,14.96,16.98,14.59,16.81,16.81,139,0.58,22483,-2240,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,CE,90.17,92.06,88.34,91.52,91.52,2804,64.16,13978,908,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,PE,6.09,7.07,3.43,4.66,4.66,1877,2.19,16246,2914,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,CE,90.47,92.59,87.96,88.49,88.49,786,17.39,10977,751,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,PE,15.46,16.8,12.97,14.84,14.84,187,0.69,29808,3967,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,CE,67.25,68.6,64.31,66.95,66.95,2511,42.03,42505,521,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,PE,17.24,17.68,17.05,17.19,17.19,2347,10.09,34851,-2666,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,CE,42.85,43.32,40.16,42.1,42.1,2099,22.09,46987,3435,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1400,PE,26.72,27.81,23.22,25.34,25.34,824,5.22,38347,1234,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,CE,28.94,32.18,26.07,29.3,29.3,2569,18.82,11568,183,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1420,PE,25.27,29.49,24.64,26.51,26.51,2770,18.36,41278,-4930,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,CE,28.96,29.91,25.94,28.21,28.21,1124,7.93,41034,518,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1440,PE,22.12,23.59,19.86,20.69,20.69,389,2.01,33246,-4240,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,CE,7.88,9.6,4.12,6.84,6.84,2452,4.19,34266,2000,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1460,PE,50.39,54.14,49.99,52.37,52.37,1591,20.83,19129,-3138,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,CE,15.31,18.22,12.88,15.57,15.57,383,1.49,48862,2354,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1480,PE,67.82,70.91,65.65,69.43,69.43,928,16.11,5262,-771,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,CE,7.43,10.71,4.6,7.95,7.95,2208,4.39,28967,4367,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1500,PE,89.16,89.99,86.64,88.57,88.57,1351,29.91,27296,2745,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,CE,16.35,20.67,13.92,18.16,18.16,1259,5.72,4507,4861,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1520,PE,111.8,114.02,111.25,111.64,111.64,2658,74.18,25675,-919,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,CE,5.92,7.25,5.81,5.89,5.89,385,0.57,3255,-1471,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1540,PE,121.68,123.96,119.49,121.8,121.8,1455,44.3,40895,-1964,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,CE,14.1,16.37,11.58,13.52,13.52,2098,7.09,18057,510,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1560,PE,138.49,139.16,134.29,136.86,136.86,966,33.05,17396,-748,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,CE,9.64,13.48,7.8,10.76,10.76,308,0.83,42341,1277,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1580,PE,161.34,162.67,159.62,159.92,159.92,1973,78.88,21496,-4010,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,CE,6.13,8.59,3.66,7.2,7.2,852,1.53,17960,-2371,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1600,PE,176.87,179.34,174.2,178.39,178.39,611,27.25,31820,2693,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,CE,2.91,4.94,1.25,3.84,3.84,2464,2.37,22528,-2344,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1620,PE,194.31,197.07,193.97,195.93,195.93,624,30.57,33680,4540,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,CE,1.59,4.0,1.06,2.27,2.27,167,0.09,21829,-1649,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1640,PE,218.0,219.37,215.06,216.17,216.17,2857,154.4,46581,936,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,CE,5.02,5.61,0.43,3.3,3.3,2773,2.29,44901,-2135,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1660,PE,236.08,236.98,232.75,235.66,235.66,1050,61.86,47484,4610,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,CE,-0.83,2.79,0.05,1.13,1.13,2128,0.6,44422,-3065,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1680,PE,256.66,258.04,255.8,257.71,257.71,462,29.77,13659,4512,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,CE,2.52,4.66,1.24,4.51,4.51,1198,1.35,21512,4313,13-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1700,PE,277.45,278.5,275.26,277.39,277.39,2232,154.78,12844,-4786,13-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,CE,138.19,140.91,135.57,136.24,136.24,912,31.06,8970,-619,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,PE,5.19,8.06,2.21,4.23,4.23,1623,1.72,27546,-4560,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,CE,114.88,117.82,113.23,113.56,113.56,1157,32.85,34711,-2577,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,PE,5.37,5.44,3.81,3.89,3.89,273,0.27,29019,3705,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,CE,96.91,100.45,95.26,98.27,98.27,1520,37.34,25252,-821,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,PE,3.99,5.8,3.66,5.34,5.34,561,0.75,11488,67,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,CE,78.05,79.73,76.51,77.75,77.75,2276,44.24,1990,-4049,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,PE,1.93,6.15,1.91,3.37,3.37,1513,1.27,16825,-3484,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,CE,61.94,63.23,60.15,61.58,61.58,220,3.39,15569,-4199,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,PE,5.84,8.61,4.02,5.83,5.83,791,1.15,13990,-3862,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,CE,37.55,39.81,35.43,36.45,36.45,372,3.39,28760,54,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,PE,3.53,4.87,0.35,2.41,2.41,754,0.45,21011,2077,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,CE,19.24,21.36,16.31,17.6,17.6,729,3.21,39473,-4256,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,PE,9.48,11.68,5.29,7.52,7.52,2610,4.91,4826,-333,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,CE,7.1,8.07,4.87,7.76,7.76,2985,5.79,13534,3366,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,PE,13.4,15.11,12.62,14.48,14.48,1909,6.91,6993,-1066,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,CE,9.4,12.06,8.2,11.39,11.39,862,2.45,27735,-3562,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,PE,34.51,36.45,33.77,35.36,35.36,2759,24.39,44952,409,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,CE,3.29,5.76,2.0,3.69,3.69,687,0.63,6559,-3846,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,PE,48.76,50.78,46.87,49.99,49.99,1616,20.2,33918,3002,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,CE,2.0,6.37,0.31,3.6,3.6,1884,1.7,20132,-3961,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,PE,78.79,80.21,77.11,77.53,77.53,2031,39.37,29660,-2919,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,CE,4.5,6.95,1.54,6.4,6.4,2997,4.8,3963,-3773,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,PE,89.31,90.18,87.56,90.02,90.02,1148,25.84,23804,-2206,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,CE,5.33,8.0,4.5,5.86,5.86,1843,2.7,29700,-2057,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,PE,107.38,111.19,104.79,109.01,109.01,2658,72.44,11182,-730,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,CE,3.62,6.3,1.61,5.16,5.16,64,0.08,11027,-4307,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,PE,132.35,134.93,130.58,134.01,134.01,2339,78.36,39550,2241,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,CE,6.14,8.98,3.86,5.56,5.56,855,1.19,21392,3499,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,PE,150.6,150.98,148.63,149.69,149.69,2340,87.57,39538,-1354,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,CE,3.72,4.11,3.01,3.08,3.08,1810,1.39,44526,4794,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,PE,169.4,170.23,166.96,169.27,169.27,2932,124.07,30220,1143,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,CE,1.02,4.8,0.05,2.02,2.02,1586,0.8,36654,-243,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,PE,190.59,190.69,188.5,189.27,189.27,1363,64.49,48914,-1512,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,CE,3.59,5.72,0.77,2.14,2.14,403,0.22,24617,-1603,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,PE,212.23,213.53,208.09,210.3,210.3,1097,57.67,42630,1003,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,CE,1.15,2.24,0.07,2.06,2.06,182,0.09,29669,4967,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1660,PE,230.25,233.15,227.16,229.57,229.57,989,56.76,23308,520,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,CE,2.4,4.61,0.96,1.52,1.52,468,0.18,25200,-1772,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1680,PE,248.9,251.09,246.21,248.95,248.95,1770,110.16,29786,-273,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,CE,0.66,4.32,0.11,1.4,1.4,696,0.24,24083,-398,14-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1700,PE,269.14,269.88,268.33,268.44,268.44,758,50.87,4532,1999,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,CE,137.78,141.52,136.25,139.17,139.17,506,17.61,18800,2201,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1300,PE,10.13,13.1,5.19,8.15,8.15,1655,3.37,26562,-1956,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,CE,117.77,120.85,115.49,119.73,119.73,1413,42.29,9306,-4426,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1320,PE,9.92,11.23,7.9,11.17,11.17,2552,7.13,16186,-187,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,CE,97.05,99.6,95.5,96.22,96.22,1980,47.63,39403,4415,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1340,PE,15.5,18.72,13.95,17.01,17.01,2515,10.7,6898,3356,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,CE,82.39,84.76,79.41,83.44,83.44,1537,32.06,2008,-1261,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1360,PE,6.94,7.66,2.42,4.99,4.99,1047,1.31,22857,4621,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,CE,60.73,62.29,58.55,60.2,60.2,1294,19.47,18641,2690,14-MAY-2026
OPTSTK,DEMOSTK,25-JUN-2026,1380,PE,19.06,22.1,18.9,19.14,19.14,1607,7.69,31274,-1268,14-MAY-2026
